Producer,Type,Serial,Nr.,Line Nr.,Immatricul.,Year,Engines_1,Engines_2,Engines_3,Status_1,Status_2,Date from,Owner_1,Owner_2,Owner_3
Airbus,SAS,A.321-271N,7917,,N202HA,2017,PW,PW1100G,,in,service,11-2017,,,
Airbus,SAS,A.321-271N,7959,,N204HA,2017,PW,PW1100G,,in,service,12-2017,,,
Airbus,SAS,A.321-271N,8092,,N205HA,2018,PW,PW1100G,,in,service,05-2018,,,
Airbus,SAS,A.321-271N,8123,,N208HA,2018,PW,PW1100G,,in,service,11-2018,,,
Airbus,Mobile,A.321-271N,8129,,N212HA,2018,PW,PW1100G,,in,service,06-2018,,,
Airbus,Mobile,A.321-271N,8157,,N214HA,2018,PW,PW1100G,,in,service,07-2018,Avolon,,
Airbus,SAS,A.321-271N,8186,,N209HA,2018,PW,PW1100G,,in,service,07-2018,CALC,,
Airbus,SAS,A.321-271N,8237,,N213HA,2018,PW,PW1100G,,in,service,07-2018,Avolon,,
Airbus,Mobile,A.321-271N,8266,,N215HA,2018,PW,PW1100G,,in,service,07-2018,,,
Airbus,SAS,A.321-271N,8471,,N216HA,2018,PW,PW1100G,,in,service,09-2018,,,
Airbus,Mobile,A.321-271N,8578,,N217HA,2018,PW,PW1100G,,in,service,11-2018,,,
Airbus,Mobile,A.321-271N,8764,,N218HA,2019,PW,PW1100G,,in,service,03-2019,,,
Airbus,SAS,A.321-271N,8872,,N220HA,2019,PW,PW1100G,,in,service,05-2019,,,
Airbus,SAS,A.321-271N,9060,,N223HA,2019,PW,PW1100G,,in,service,09-2019,,,
Airbus,Mobile,A.321-271N,9127,,N226HA,2019,PW,PW1100G,,in,service,09-2019,,,
Airbus,Mobile,A.321-271N,9223,,N227HA,2019,PW,PW1100G,,in,service,11-2019,,,
Airbus,Mobile,A.321-271N,9274,,N228HA,2019,PW,PW1100G,,in,service,12-2019,,,
Airbus,Mobile,A.321-271N,9547,,N230HA,2020,PW,PW1100G,,in,service,05-2020,,,
Airbus,SAS,A.330-243,1104,,N380HA,2010,RR,Trent,772,in,service,04-2010,CIT,,
Airbus,SAS,A.330-243,1114,,N381HA,2010,RR,Trent,772,in,service,05-2010,DAE,Capital,
Airbus,SAS,A.330-243,1171,,N382HA,2010,RR,Trent,772,in,service,11-2010,DAE,Capital,
Airbus,SAS,A.330-243,1217,,N383HA,2011,RR,Trent,772,in,service,04-2011,,,
Airbus,SAS,A.330-243,1259,,N384HA,2011,RR,Trent,772,in,service,10-2011,,,
Airbus,SAS,A.330-243,1295,,N385HA,2012,RR,Trent,772,in,service,03-2012,,,
Airbus,SAS,A.330-243,1302,,N386HA,2012,RR,Trent,772,in,service,04-2012,,,
Airbus,SAS,A.330-243,1310,,N388HA,2012,RR,Trent,772,in,service,05-2012,,,
Airbus,SAS,A.330-243,1316,,N389HA,2012,RR,Trent,772,in,service,06-2012,Air,Lease,Co.
Airbus,SAS,A.330-243,1389,,N390HA,2013,RR,Trent,772,in,service,02-2013,,,
Airbus,SAS,A.330-243,1399,,N391HA,2013,RR,Trent,772,in,service,04-2013,,,
Airbus,SAS,A.330-243,1404,,N392HA,2013,RR,Trent,772,in,service,04-2013,,,
Airbus,SAS,A.330-243,1422,,N393HA,2013,RR,Trent,772,in,service,06-2013,,,
